,term
2014-12-22,10
2014-12-23,10
2014-12-24,10
2014-12-25,10
2014-12-26,10
2014-12-27,11
2014-12-28,11
2014-12-29,10
2014-12-30,10
2014-12-31,10
2015-01-01,10
2015-01-02,10
2015-01-03,11
2015-01-04,11
2015-01-05,10
2015-01-06,5
2015-01-07,5
2015-01-08,5
2015-01-09,5
2015-01-10,6
2015-01-11,6
2015-01-12,5
2015-01-13,0
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,1
2015-01-18,1
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,0
2015-01-23,0
2015-01-24,1
2015-01-25,1
2015-01-26,0
2015-01-27,0
2015-01-28,0
2015-01-29,0
2015-01-30,0
2015-01-31,1
2015-02-01,1
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,0
2015-02-06,0
2015-02-07,1
2015-02-08,1
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,0
2015-02-14,1
2015-02-15,1
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,1
2015-02-22,1
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,1
2015-03-01,1
2015-03-02,0
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,1
2015-03-08,1
2015-03-09,0
2015-03-10,0
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,3
2015-03-15,3
2015-03-16,2
2015-03-17,2
2015-03-18,2
2015-03-19,2
2015-03-20,2
2015-03-21,3
2015-03-22,3
2015-03-23,2
2015-03-24,2
2015-03-25,2
2015-03-26,2
2015-03-27,2
2015-03-28,3
2015-03-29,3
2015-03-30,2
2015-03-31,2
2015-04-01,2
2015-04-02,2
2015-04-03,2
2015-04-04,3
2015-04-05,3
2015-04-06,2
2015-04-07,2
2015-04-08,2
2015-04-09,2
2015-04-10,2
2015-04-11,3
2015-04-12,3
2015-04-13,2
2015-04-14,2
2015-04-15,2
2015-04-16,2
2015-04-17,2
2015-04-18,3
2015-04-19,3
2015-04-20,2
2015-04-21,4
2015-04-22,4
2015-04-23,4
2015-04-24,4
2015-04-25,5
2015-04-26,5
2015-04-27,4
2015-04-28,4
2015-04-29,4
2015-04-30,4
2015-05-01,4
2015-05-02,5
2015-05-03,5
2015-05-04,4
2015-05-05,4
2015-05-06,4
2015-05-07,4
2015-05-08,4
2015-05-09,5
2015-05-10,5
2015-05-11,4
2015-05-12,4
2015-05-13,4
2015-05-14,4
2015-05-15,4
2015-05-16,5
2015-05-17,5
2015-05-18,4
2015-05-19,4
2015-05-20,4
2015-05-21,4
2015-05-22,4
2015-05-23,5
2015-05-24,5
2015-05-25,4
2015-05-26,4
2015-05-27,4
2015-05-28,4
2015-05-29,4
2015-05-30,5
2015-05-31,5
2015-06-01,4
2015-06-02,4
2015-06-03,4
2015-06-04,4
2015-06-05,4
2015-06-06,5
2015-06-07,5
2015-06-08,4
2015-06-09,4
2015-06-10,4
2015-06-11,4
2015-06-12,4
2015-06-13,7
2015-06-14,7
2015-06-15,6
2015-06-16,6
2015-06-17,6
2015-06-18,6
2015-06-19,6
2015-06-20,7
2015-06-21,7
2015-06-22,6
2015-06-23,6
2015-06-24,6
2015-06-25,6
2015-06-26,6
2015-06-27,7
2015-06-28,7
2015-06-29,6
2015-06-30,6
2015-07-01,6
2015-07-02,6
2015-07-03,6
2015-07-04,7
2015-07-05,7
2015-07-06,6
2015-07-07,6
2015-07-08,6
2015-07-09,6
2015-07-10,6
2015-07-11,7
2015-07-12,7
2015-07-13,6
2015-07-14,6
2015-07-15,6
2015-07-16,6
2015-07-17,6
2015-07-18,7
2015-07-19,7
2015-07-20,6
2015-07-21,6
2015-07-22,6
2015-07-23,6
2015-07-24,6
2015-07-25,7
2015-07-26,7
2015-07-27,6
2015-07-28,6
2015-07-29,6
2015-07-30,6
2015-07-31,6
2015-08-01,7
2015-08-02,7
2015-08-03,6
2015-08-04,6
2015-08-05,6
2015-08-06,6
2015-08-07,6
2015-08-08,7
2015-08-09,7
2015-08-10,6
2015-08-11,6
2015-08-12,6
2015-08-13,6
2015-08-14,6
2015-08-15,7
2015-08-16,7
2015-08-17,6
2015-08-18,6
2015-08-19,6
2015-08-20,6
2015-08-21,6
2015-08-22,7
2015-08-23,7
2015-08-24,6
2015-08-25,6
2015-08-26,6
2015-08-27,6
2015-08-28,6
2015-08-29,7
2015-08-30,7
2015-08-31,6
2015-09-01,6
2015-09-02,6
2015-09-03,6
2015-09-04,6
2015-09-05,7
2015-09-06,7
2015-09-07,6
2015-09-08,6
2015-09-09,6
2015-09-10,6
2015-09-11,6
2015-09-12,7
2015-09-13,7
2015-09-14,6
2015-09-15,6
2015-09-16,6
2015-09-17,6
2015-09-18,6
2015-09-19,7
2015-09-20,7
2015-09-21,6
2015-09-22,6
2015-09-23,6
2015-09-24,6
2015-09-25,6
2015-09-26,7
2015-09-27,7
2015-09-28,6
2015-09-29,6
2015-09-30,6
2015-10-01,6
2015-10-02,6
2015-10-03,7
2015-10-04,7
2015-10-05,6
2015-10-06,8
2015-10-07,8
2015-10-08,8
2015-10-09,8
2015-10-10,9
2015-10-11,9
2015-10-12,8
2015-10-13,8
2015-10-14,8
2015-10-15,8
2015-10-16,8
2015-10-17,9
2015-10-18,9
2015-10-19,8
2015-10-20,8
2015-10-21,8
2015-10-22,8
2015-10-23,8
2015-10-24,9
2015-10-25,9
2015-10-26,8
2015-10-27,8
2015-10-28,8
2015-10-29,8
2015-10-30,8
2015-10-31,9
2015-11-01,9
2015-11-02,8
2015-11-03,8
2015-11-04,8
2015-11-05,8
2015-11-06,8
2015-11-07,9
2015-11-08,9
2015-11-09,8
2015-11-10,8
2015-11-11,8
2015-11-12,8
2015-11-13,8
2015-11-14,9
2015-11-15,9
2015-11-16,8
2015-11-17,8
2015-11-18,8
2015-11-19,8
2015-11-20,8
2015-11-21,9
2015-11-22,9
2015-11-23,8
2015-11-24,8
2015-11-25,8
2015-11-26,8
2015-11-27,8
2015-11-28,9
2015-11-29,9
2015-11-30,8
2015-12-01,8
2015-12-02,8
2015-12-03,8
2015-12-04,8
2015-12-05,11
2015-12-06,11
2015-12-07,10
2015-12-08,10
2015-12-09,10
2015-12-10,10
2015-12-11,10
2015-12-12,11
2015-12-13,11
2015-12-14,10
2015-12-15,10
2015-12-16,10
2015-12-17,10
2015-12-18,10
2015-12-19,11
2015-12-20,11
2015-12-21,10
2015-12-22,10
2015-12-23,10
2015-12-24,10
2015-12-25,10
2015-12-26,11
2015-12-27,11
2015-12-28,10
2015-12-29,10
2015-12-30,10
2015-12-31,10
2016-01-01,10
2016-01-02,11
2016-01-03,11
2016-01-04,10
2016-01-05,10
2016-01-06,10
2016-01-07,10
2016-01-08,10
2016-01-09,11
2016-01-10,11
2016-01-11,10
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,0
2016-01-16,1
2016-01-17,1
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,1
2016-01-24,1
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,1
2016-01-31,1
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,1
2016-02-07,1
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,1
2016-02-14,1
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,1
2016-02-21,1
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,1
2016-02-28,1
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,1
2016-03-06,1
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,3
2016-03-13,3
2016-03-14,2
2016-03-15,2
2016-03-16,2
2016-03-17,2
2016-03-18,2
2016-03-19,3
2016-03-20,3
2016-03-21,2
2016-03-22,2
2016-03-23,2
2016-03-24,2
2016-03-25,2
2016-03-26,3
2016-03-27,3
2016-03-28,2
2016-03-29,2
2016-03-30,2
2016-03-31,2
2016-04-01,2
2016-04-02,3
2016-04-03,3
2016-04-04,2
2016-04-05,2
2016-04-06,2
2016-04-07,2
2016-04-08,2
2016-04-09,3
2016-04-10,3
2016-04-11,2
2016-04-12,2
2016-04-13,2
2016-04-14,2
2016-04-15,2
2016-04-16,3
2016-04-17,3
2016-04-18,2
2016-04-19,4
2016-04-20,4
2016-04-21,4
2016-04-22,4
2016-04-23,5
2016-04-24,5
2016-04-25,4
2016-04-26,4
2016-04-27,4
2016-04-28,4
2016-04-29,4
2016-04-30,5
2016-05-01,5
2016-05-02,4
2016-05-03,4
2016-05-04,4
2016-05-05,4
2016-05-06,4
2016-05-07,5
2016-05-08,5
2016-05-09,4
2016-05-10,4
2016-05-11,4
2016-05-12,4
2016-05-13,4
2016-05-14,5
2016-05-15,5
2016-05-16,4
2016-05-17,4
2016-05-18,4
2016-05-19,4
2016-05-20,4
2016-05-21,5
2016-05-22,5
2016-05-23,4
2016-05-24,4
2016-05-25,4
2016-05-26,4
2016-05-27,4
2016-05-28,5
2016-05-29,5
2016-05-30,4
2016-05-31,4
2016-06-01,4
2016-06-02,4
2016-06-03,4
2016-06-04,5
2016-06-05,5
2016-06-06,4
2016-06-07,4
2016-06-08,4
2016-06-09,4
2016-06-10,4
2016-06-11,7
2016-06-12,7
2016-06-13,6
2016-06-14,6
2016-06-15,6
2016-06-16,6
2016-06-17,6
2016-06-18,7
2016-06-19,7
2016-06-20,6
2016-06-21,6
2016-06-22,6
2016-06-23,6
2016-06-24,6
2016-06-25,7
2016-06-26,7
2016-06-27,6
2016-06-28,6
2016-06-29,6
2016-06-30,6
2016-07-01,6
2016-07-02,7
2016-07-03,7
2016-07-04,6
2016-07-05,6
2016-07-06,6
2016-07-07,6
2016-07-08,6
2016-07-09,7
2016-07-10,7
2016-07-11,6
2016-07-12,6
2016-07-13,6
2016-07-14,6
2016-07-15,6
2016-07-16,7
2016-07-17,7
2016-07-18,6
2016-07-19,6
2016-07-20,6
2016-07-21,6
2016-07-22,6
2016-07-23,7
2016-07-24,7
2016-07-25,6
2016-07-26,6
2016-07-27,6
2016-07-28,6
2016-07-29,6
2016-07-30,7
2016-07-31,7
2016-08-01,6
2016-08-02,6
2016-08-03,6
2016-08-04,6
2016-08-05,6
2016-08-06,7
2016-08-07,7
2016-08-08,6
2016-08-09,6
2016-08-10,6
2016-08-11,6
2016-08-12,6
2016-08-13,7
2016-08-14,7
2016-08-15,6
2016-08-16,6
2016-08-17,6
2016-08-18,6
2016-08-19,6
2016-08-20,7
2016-08-21,7
2016-08-22,6
2016-08-23,6
2016-08-24,6
2016-08-25,6
2016-08-26,6
2016-08-27,7
2016-08-28,7
2016-08-29,6
2016-08-30,6
2016-08-31,6
2016-09-01,6
2016-09-02,6
2016-09-03,7
2016-09-04,7
2016-09-05,6
2016-09-06,6
2016-09-07,6
2016-09-08,6
2016-09-09,6
2016-09-10,7
2016-09-11,7
2016-09-12,6
2016-09-13,6
2016-09-14,6
2016-09-15,6
2016-09-16,6
2016-09-17,7
2016-09-18,7
2016-09-19,6
2016-09-20,6
2016-09-21,6
2016-09-22,6
2016-09-23,6
2016-09-24,7
2016-09-25,7
2016-09-26,6
2016-09-27,6
2016-09-28,6
2016-09-29,6
2016-09-30,6
2016-10-01,7
2016-10-02,7
2016-10-03,6
2016-10-04,8
2016-10-05,8
2016-10-06,8
2016-10-07,8
2016-10-08,9
2016-10-09,9
2016-10-10,8
2016-10-11,8
2016-10-12,8
2016-10-13,8
2016-10-14,8
2016-10-15,9
2016-10-16,9
2016-10-17,8
2016-10-18,8
2016-10-19,8
2016-10-20,8
2016-10-21,8
2016-10-22,9
2016-10-23,9
2016-10-24,8
2016-10-25,8
2016-10-26,8
2016-10-27,8
2016-10-28,8
2016-10-29,9
2016-10-30,9
2016-10-31,8
2016-11-01,8
2016-11-02,8
2016-11-03,8
2016-11-04,8
2016-11-05,9
2016-11-06,9
2016-11-07,8
2016-11-08,8
2016-11-09,8
2016-11-10,8
2016-11-11,8
2016-11-12,9
2016-11-13,9
2016-11-14,8
2016-11-15,8
2016-11-16,8
2016-11-17,8
2016-11-18,8
2016-11-19,9
2016-11-20,9
2016-11-21,8
2016-11-22,8
2016-11-23,8
2016-11-24,8
2016-11-25,8
2016-11-26,9
2016-11-27,9
2016-11-28,8
2016-11-29,8
2016-11-30,8
2016-12-01,8
2016-12-02,8
2016-12-03,11
2016-12-04,11
2016-12-05,10
2016-12-06,10
2016-12-07,10
2016-12-08,10
2016-12-09,10
2016-12-10,11
2016-12-11,11
2016-12-12,10
2016-12-13,10
2016-12-14,10
2016-12-15,10
2016-12-16,10
2016-12-17,11
2016-12-18,11
2016-12-19,10
2016-12-20,10
2016-12-21,10
2016-12-22,10
2016-12-23,10
2016-12-24,11
2016-12-25,11
2016-12-26,10
2016-12-27,10
2016-12-28,10
2016-12-29,10
2016-12-30,10
2016-12-31,11
