,cost,reduced_scenario,probability
62,75464257.61613175,132.0,0.0
63,75171123.88561971,122.0,0.0
64,75727585.60049836,97.0,0.0
65,75690622.86133443,97.0,0.0
66,75008567.28427188,167.0,0.0
67,74963239.45347357,261.0,0.0
68,75130168.39874932,456.0,0.0
69,76016500.56512438,342.0,0.0
70,76118671.59067883,299.0,0.0
71,74943112.24577944,261.0,0.0
72,75546371.14225014,436.0,0.0
73,75124358.52822009,456.0,0.0
74,74451137.61242996,221.0,0.0
75,74782389.25163351,141.0,0.0
76,74926783.83999869,261.0,0.0
77,75762323.87522523,97.0,0.0
78,75288206.75327632,275.0,0.0
79,75411470.31665084,132.0,0.0
80,75577516.30896866,313.0,0.0
81,74984596.00900629,167.0,0.0
82,75202341.52679314,122.0,0.0
83,74950860.24405232,261.0,0.0
84,74670731.33048476,344.0,0.0
85,75540234.2657259,436.0,0.0
86,75807537.49182658,285.0,0.0
87,74769887.89556931,141.0,0.0
88,74966578.4661111,167.0,0.0
89,74437618.24051903,221.0,0.0
90,75171433.12313777,122.0,0.0
91,75463002.73132798,132.0,0.0
92,76092916.88505466,342.0,0.0
93,75301211.64711228,275.0,0.0
94,74968796.89168045,167.0,0.0
95,75209754.6956062,122.0,0.0
96,74832601.21872503,141.0,0.0
97,75732026.18033452,97.0,0.04400000000000001
98,75823907.17284408,285.0,0.0
99,74869885.82026343,261.0,0.0
100,74738282.59958327,344.0,0.0
101,74534314.1712397,221.0,0.0
102,74982465.30164348,167.0,0.0
103,75445253.67750798,132.0,0.0
104,75215970.78612237,122.0,0.0
105,74605006.75947143,221.0,0.0
106,75379524.98990327,132.0,0.0
107,75581809.10266045,313.0,0.0
108,75313656.53430916,275.0,0.0
109,74688874.7458006,344.0,0.0
110,75855271.90888067,285.0,0.0
111,75413512.01213826,132.0,0.0
112,75842568.98539013,285.0,0.0
113,75026778.94500622,167.0,0.0
114,75062769.51055479,456.0,0.0
115,75092537.87914479,456.0,0.0
116,75291086.79709332,275.0,0.0
117,75725744.7360822,97.0,0.0
118,75123361.66639256,456.0,0.0
